Lat,Lon,Year,Day,Month,SolarNoon,Sunrise,Sunset
37.773972,122.431297,2023,6,Jan,11:55:38,07:06,16:46
37.773972,122.431297,2023,6,Feb,12:04:16,06:50,17:19
37.773972,122.431297,2023,6,Mar,12:01:46,06:16,17:48
37.773972,122.431297,2023,6,Apr,11:52:59,05:29,18:17
37.773972,122.431297,2023,6,May,11:46:59,04:50,18:45
37.773972,122.431297,2023,6,Jun,11:48:47,04:29,19:09
37.773972,122.431297,2023,6,Jul,11:54:53,04:34,19:15
37.773972,122.431297,2023,6,Aug,11:56:18,04:57,18:55
37.773972,122.431297,2023,6,Sep,11:49:01,05:24,18:13
37.773972,122.431297,2023,6,Oct,11:38:44,05:50,17:27
37.773972,122.431297,2023,6,Nov,11:33:49,06:20,16:47
37.773972,122.431297,2023,6,Dec,11:40:51,06:51,16:31
37.773972,122.431297,2023,7,Jan,11:56:04,07:06,16:47
37.773972,122.431297,2023,7,Feb,12:04:21,06:49,17:20
37.773972,122.431297,2023,7,Mar,12:01:32,06:14,17:49
37.773972,122.431297,2023,7,Apr,11:52:42,05:28,18:18
37.773972,122.431297,2023,7,May,11:46:55,04:49,18:46
37.773972,122.431297,2023,7,Jun,11:48:58,04:29,19:10
37.773972,122.431297,2023,7,Jul,11:55:03,04:35,19:15
37.773972,122.431297,2023,7,Aug,11:56:12,04:58,18:53
37.773972,122.431297,2023,7,Sep,11:48:41,05:25,18:12
37.773972,122.431297,2023,7,Oct,11:38:26,05:51,17:25
37.773972,122.431297,2023,7,Nov,11:33:51,06:21,16:46
37.773972,122.431297,2023,7,Dec,11:41:16,06:52,16:31
37.773972,122.431297,2023,8,Jan,11:56:30,07:06,16:48
37.773972,122.431297,2023,8,Feb,12:04:24,06:48,17:21
37.773972,122.431297,2023,8,Mar,12:01:18,06:13,17:50
37.773972,122.431297,2023,8,Apr,11:52:25,05:26,18:19
37.773972,122.431297,2023,8,May,11:46:50,04:48,18:46
37.773972,122.431297,2023,8,Jun,11:49:09,04:28,19:10
37.773972,122.431297,2023,8,Jul,11:55:13,04:35,19:15
37.773972,122.431297,2023,8,Aug,11:56:05,04:59,18:52
37.773972,122.431297,2023,8,Sep,11:48:21,05:26,18:10
37.773972,122.431297,2023,8,Oct,11:38:08,05:51,17:24
37.773972,122.431297,2023,8,Nov,11:33:54,06:22,16:45
37.773972,122.431297,2023,8,Dec,11:41:41,06:52,16:31
37.773972,122.431297,2023,9,Jan,11:56:56,07:06,16:49
37.773972,122.431297,2023,9,Feb,12:04:27,06:47,17:22
37.773972,122.431297,2023,9,Mar,12:01:03,06:11,17:51
37.773972,122.431297,2023,9,Apr,11:52:08,05:25,18:20
37.773972,122.431297,2023,9,May,11:46:47,04:47,18:47
37.773972,122.431297,2023,9,Jun,11:49:20,04:28,19:11
37.773972,122.431297,2023,9,Jul,11:55:22,04:36,19:15
37.773972,122.431297,2023,9,Aug,11:55:57,05:00,18:51
37.773972,122.431297,2023,9,Sep,11:48:00,05:26,18:09
37.773972,122.431297,2023,9,Oct,11:37:51,05:52,17:22
37.773972,122.431297,2023,9,Nov,11:33:58,06:23,16:44
37.773972,122.431297,2023,9,Dec,11:42:08,06:53,16:31
37.773972,122.431297,2023,10,Jan,11:57:21,07:06,16:50
37.773972,122.431297,2023,10,Feb,12:04:29,06:46,17:23
37.773972,122.431297,2023,10,Mar,12:00:48,06:10,17:52
37.773972,122.431297,2023,10,Apr,11:51:52,05:23,18:21
37.773972,122.431297,2023,10,May,11:46:44,04:46,18:48
37.773972,122.431297,2023,10,Jun,11:49:32,04:28,19:11
37.773972,122.431297,2023,10,Jul,11:55:31,04:37,19:14
37.773972,122.431297,2023,10,Aug,11:55:49,05:01,18:50
37.773972,122.431297,2023,10,Sep,11:47:40,05:27,18:07
37.773972,122.431297,2023,10,Oct,11:37:34,05:53,17:21
37.773972,122.431297,2023,10,Nov,11:34:02,06:24,16:43
37.773972,122.431297,2023,10,Dec,11:42:34,06:54,16:31
37.773972,122.431297,2023,11,Jan,11:57:45,07:06,16:50
37.773972,122.431297,2023,11,Feb,12:04:30,06:45,17:24
37.773972,122.431297,2023,11,Mar,12:00:33,06:08,17:53
37.773972,122.431297,2023,11,Apr,11:51:36,05:22,18:22
37.773972,122.431297,2023,11,May,11:46:42,04:45,18:49
37.773972,122.431297,2023,11,Jun,11:49:44,04:28,19:12
37.773972,122.431297,2023,11,Jul,11:55:40,04:37,19:14
37.773972,122.431297,2023,11,Aug,11:55:40,05:02,18:49
37.773972,122.431297,2023,11,Sep,11:47:19,05:28,18:05
37.773972,122.431297,2023,11,Oct,11:37:18,05:54,17:20
37.773972,122.431297,2023,11,Nov,11:34:08,06:25,16:43
37.773972,122.431297,2023,11,Dec,11:43:01,06:55,16:31
37.773972,122.431297,2023,12,Jan,11:58:09,07:05,16:51
37.773972,122.431297,2023,12,Feb,12:04:30,06:44,17:25
37.773972,122.431297,2023,12,Mar,12:00:17,06:07,17:54
37.773972,122.431297,2023,12,Apr,11:51:20,05:20,18:23
37.773972,122.431297,2023,12,May,11:46:40,04:44,18:50
37.773972,122.431297,2023,12,Jun,11:49:56,04:28,19:12
37.773972,122.431297,2023,12,Jul,11:55:48,04:38,19:14
37.773972,122.431297,2023,12,Aug,11:55:31,05:03,18:48
37.773972,122.431297,2023,12,Sep,11:46:58,05:29,18:04
37.773972,122.431297,2023,12,Oct,11:37:02,05:55,17:18
37.773972,122.431297,2023,12,Nov,11:34:14,06:26,16:42
37.773972,122.431297,2023,12,Dec,11:43:29,06:56,16:32
37.773972,122.431297,2023,13,Jan,11:58:33,07:05,16:52
37.773972,122.431297,2023,13,Feb,12:04:30,06:43,17:26
37.773972,122.431297,2023,13,Mar,12:00:01,06:05,17:55
37.773972,122.431297,2023,13,Apr,11:51:04,05:19,18:23
37.773972,122.431297,2023,13,May,11:46:39,04:43,18:51
37.773972,122.431297,2023,13,Jun,11:50:08,04:28,19:13
37.773972,122.431297,2023,13,Jul,11:55:56,04:38,19:13
37.773972,122.431297,2023,13,Aug,11:55:21,05:03,18:46
37.773972,122.431297,2023,13,Sep,11:46:37,05:30,18:02
37.773972,122.431297,2023,13,Oct,11:36:46,05:56,17:17
37.773972,122.431297,2023,13,Nov,11:34:22,06:27,16:41
37.773972,122.431297,2023,13,Dec,11:43:56,06:56,16:32
37.773972,122.431297,2023,14,Jan,11:58:55,07:05,16:53
37.773972,122.431297,2023,14,Feb,12:04:29,06:42,17:27
37.773972,122.431297,2023,14,Mar,11:59:45,06:04,17:56
37.773972,122.431297,2023,14,Apr,11:50:49,05:18,18:24
37.773972,122.431297,2023,14,May,11:46:38,04:42,18:52
37.773972,122.431297,2023,14,Jun,11:50:21,04:28,19:13
37.773972,122.431297,2023,14,Jul,11:56:03,04:39,19:13
37.773972,122.431297,2023,14,Aug,11:55:10,05:04,18:45
37.773972,122.431297,2023,14,Sep,11:46:15,05:31,18:01
37.773972,122.431297,2023,14,Oct,11:36:32,05:57,17:15
37.773972,122.431297,2023,14,Nov,11:34:30,06:29,16:40
37.773972,122.431297,2023,14,Dec,11:44:25,06:57,16:32
37.773972,122.431297,2023,15,Jan,11:59:18,07:05,16:54
37.773972,122.431297,2023,15,Feb,12:04:27,06:41,17:29
37.773972,122.431297,2023,15,Mar,11:59:28,06:02,17:57
37.773972,122.431297,2023,15,Apr,11:50:34,05:16,18:25
37.773972,122.431297,2023,15,May,11:46:38,04:41,18:53
37.773972,122.431297,2023,15,Jun,11:50:33,04:28,19:14
37.773972,122.431297,2023,15,Jul,11:56:10,04:40,19:12
37.773972,122.431297,2023,15,Aug,11:54:59,05:05,18:44
37.773972,122.431297,2023,15,Sep,11:45:54,05:31,17:59
37.773972,122.431297,2023,15,Oct,11:36:17,05:58,17:14
37.773972,122.431297,2023,15,Nov,11:34:39,06:30,16:39
37.773972,122.431297,2023,15,Dec,11:44:53,06:58,16:32
37.773972,122.431297,2023,16,Jan,11:59:39,07:04,16:56
37.773972,122.431297,2023,16,Feb,12:04:24,06:40,17:30
37.773972,122.431297,2023,16,Mar,11:59:11,06:01,17:58
37.773972,122.431297,2023,16,Apr,11:50:19,05:15,18:26
37.773972,122.431297,2023,16,May,11:46:38,04:40,18:54
37.773972,122.431297,2023,16,Jun,11:50:46,04:28,19:14
37.773972,122.431297,2023,16,Jul,11:56:16,04:41,19:12
37.773972,122.431297,2023,16,Aug,11:54:48,05:06,18:43
37.773972,122.431297,2023,16,Sep,11:45:33,05:32,17:58
37.773972,122.431297,2023,16,Oct,11:36:03,05:59,17:12
37.773972,122.431297,2023,16,Nov,11:34:49,06:31,16:39
37.773972,122.431297,2023,16,Dec,11:45:22,06:59,16:33
37.773972,122.431297,2023,17,Jan,12:00:00,07:04,16:57
37.773972,122.431297,2023,17,Feb,12:04:21,06:38,17:31
37.773972,122.431297,2023,17,Mar,11:58:54,05:59,17:59
37.773972,122.431297,2023,17,Apr,11:50:05,05:13,18:27
37.773972,122.431297,2023,17,May,11:46:39,04:39,18:54
37.773972,122.431297,2023,17,Jun,11:50:59,04:28,19:14
37.773972,122.431297,2023,17,Jul,11:56:22,04:41,19:11
37.773972,122.431297,2023,17,Aug,11:54:35,05:07,18:41
37.773972,122.431297,2023,17,Sep,11:45:11,05:33,17:56
37.773972,122.431297,2023,17,Oct,11:35:50,06:00,17:11
37.773972,122.431297,2023,17,Nov,11:34:59,06:32,16:38
37.773972,122.431297,2023,17,Dec,11:45:51,06:59,16:33
37.773972,122.431297,2023,18,Jan,12:00:20,07:04,16:58
37.773972,122.431297,2023,18,Feb,12:04:17,06:37,17:32
37.773972,122.431297,2023,18,Mar,11:58:37,05:58,18:00
37.773972,122.431297,2023,18,Apr,11:49:51,05:12,18:28
37.773972,122.431297,2023,18,May,11:46:41,04:39,18:55
37.773972,122.431297,2023,18,Jun,11:51:12,04:28,19:15
37.773972,122.431297,2023,18,Jul,11:56:27,04:42,19:11
37.773972,122.431297,2023,18,Aug,11:54:23,05:08,18:40
37.773972,122.431297,2023,18,Sep,11:44:50,05:34,17:55
37.773972,122.431297,2023,18,Oct,11:35:38,06:01,17:10
37.773972,122.431297,2023,18,Nov,11:35:11,06:33,16:37
37.773972,122.431297,2023,18,Dec,11:46:20,07:00,16:33
37.773972,122.431297,2023,19,Jan,12:00:39,07:03,16:59
37.773972,122.431297,2023,19,Feb,12:04:12,06:36,17:33
37.773972,122.431297,2023,19,Mar,11:58:20,05:56,18:01
37.773972,122.431297,2023,19,Apr,11:49:38,05:11,18:29
37.773972,122.431297,2023,19,May,11:46:43,04:38,18:56
37.773972,122.431297,2023,19,Jun,11:51:25,04:28,19:15
37.773972,122.431297,2023,19,Jul,11:56:32,04:43,19:10
37.773972,122.431297,2023,19,Aug,11:54:10,05:09,18:39
37.773972,122.431297,2023,19,Sep,11:44:29,05:35,17:53
37.773972,122.431297,2023,19,Oct,11:35:25,06:02,17:08
37.773972,122.431297,2023,19,Nov,11:35:23,06:34,16:37
37.773972,122.431297,2023,19,Dec,11:46:49,07:00,16:34
37.773972,122.431297,2023,20,Jan,12:00:58,07:03,17:00
37.773972,122.431297,2023,20,Feb,12:04:06,06:35,17:34
37.773972,122.431297,2023,20,Mar,11:58:02,05:55,18:01
37.773972,122.431297,2023,20,Apr,11:49:25,05:09,18:30
37.773972,122.431297,2023,20,May,11:46:46,04:37,18:57
37.773972,122.431297,2023,20,Jun,11:51:38,04:28,19:15
37.773972,122.431297,2023,20,Jul,11:56:36,04:43,19:09
37.773972,122.431297,2023,20,Aug,11:53:56,05:09,18:38
37.773972,122.431297,2023,20,Sep,11:44:07,05:36,17:52
37.773972,122.431297,2023,20,Oct,11:35:14,06:03,17:07
37.773972,122.431297,2023,20,Nov,11:35:36,06:35,16:36
37.773972,122.431297,2023,20,Dec,11:47:19,07:01,16:34
37.773972,122.431297,2023,21,Jan,12:01:16,07:02,17:01
37.773972,122.431297,2023,21,Feb,12:04:00,06:33,17:35
37.773972,122.431297,2023,21,Mar,11:57:45,05:53,18:02
37.773972,122.431297,2023,21,Apr,11:49:12,05:08,18:31
37.773972,122.431297,2023,21,May,11:46:49,04:36,18:58
37.773972,122.431297,2023,21,Jun,11:51:51,04:28,19:15
37.773972,122.431297,2023,21,Jul,11:56:40,04:44,19:09
37.773972,122.431297,2023,21,Aug,11:53:42,05:10,18:36
37.773972,122.431297,2023,21,Sep,11:43:46,05:37,17:50
37.773972,122.431297,2023,21,Oct,11:35:03,06:04,17:06
37.773972,122.431297,2023,21,Nov,11:35:51,06:36,16:36
37.773972,122.431297,2023,21,Dec,11:47:48,07:02,16:34
37.773972,122.431297,2023,22,Jan,12:01:33,07:02,17:02
37.773972,122.431297,2023,22,Feb,12:03:53,06:32,17:36
37.773972,122.431297,2023,22,Mar,11:57:27,05:52,18:03
37.773972,122.431297,2023,22,Apr,11:49:00,05:07,18:32
37.773972,122.431297,2023,22,May,11:46:53,04:36,18:59
37.773972,122.431297,2023,22,Jun,11:52:04,04:29,19:16
37.773972,122.431297,2023,22,Jul,11:56:43,04:45,19:08
37.773972,122.431297,2023,22,Aug,11:53:27,05:11,18:35
37.773972,122.431297,2023,22,Sep,11:43:24,05:37,17:48
37.773972,122.431297,2023,22,Oct,11:34:53,06:05,17:04
37.773972,122.431297,2023,22,Nov,11:36:05,06:37,16:35
37.773972,122.431297,2023,22,Dec,11:48:18,07:02,16:35
37.773972,122.431297,2023,23,Jan,12:01:50,07:01,17:03
37.773972,122.431297,2023,23,Feb,12:03:46,06:31,17:37
37.773972,122.431297,2023,23,Mar,11:57:09,05:50,18:04
37.773972,122.431297,2023,23,Apr,11:48:48,05:05,18:33
37.773972,122.431297,2023,23,May,11:46:57,04:35,18:59
37.773972,122.431297,2023,23,Jun,11:52:17,04:29,19:16
37.773972,122.431297,2023,23,Jul,11:56:46,04:46,19:07
37.773972,122.431297,2023,23,Aug,11:53:12,05:12,18:33
37.773972,122.431297,2023,23,Sep,11:43:03,05:38,17:47
37.773972,122.431297,2023,23,Oct,11:34:44,06:06,17:03
37.773972,122.431297,2023,23,Nov,11:36:21,06:38,16:35
37.773972,122.431297,2023,23,Dec,11:48:48,07:03,16:35
37.773972,122.431297,2023,24,Jan,12:02:05,07:01,17:04
37.773972,122.431297,2023,24,Feb,12:03:38,06:30,17:38
37.773972,122.431297,2023,24,Mar,11:56:51,05:49,18:05
37.773972,122.431297,2023,24,Apr,11:48:37,05:04,18:34
37.773972,122.431297,2023,24,May,11:47:02,04:34,19:00
37.773972,122.431297,2023,24,Jun,11:52:30,04:29,19:16
37.773972,122.431297,2023,24,Jul,11:56:48,04:47,19:07
37.773972,122.431297,2023,24,Aug,11:52:57,05:13,18:32
37.773972,122.431297,2023,24,Sep,11:42:42,05:39,17:45
37.773972,122.431297,2023,24,Oct,11:34:35,06:07,17:02
37.773972,122.431297,2023,24,Nov,11:36:37,06:39,16:34
37.773972,122.431297,2023,24,Dec,11:49:18,07:03,16:36
37.773972,122.431297,2023,25,Jan,12:02:20,07:00,17:05
37.773972,122.431297,2023,25,Feb,12:03:29,06:28,17:39
37.773972,122.431297,2023,25,Mar,11:56:33,05:47,18:06
37.773972,122.431297,2023,25,Apr,11:48:26,05:03,18:35
37.773972,122.431297,2023,25,May,11:47:07,04:34,19:01
37.773972,122.431297,2023,25,Jun,11:52:43,04:29,19:16
37.773972,122.431297,2023,25,Jul,11:56:49,04:47,19:06
37.773972,122.431297,2023,25,Aug,11:52:41,05:14,18:31
37.773972,122.431297,2023,25,Sep,11:42:21,05:40,17:44
37.773972,122.431297,2023,25,Oct,11:34:27,06:08,17:01
37.773972,122.431297,2023,25,Nov,11:36:55,06:40,16:34
37.773972,122.431297,2023,25,Dec,11:49:47,07:03,16:37
37.773972,122.431297,2023,26,Jan,12:02:35,06:59,17:06
37.773972,122.431297,2023,26,Feb,12:03:20,06:27,17:40
37.773972,122.431297,2023,26,Mar,11:56:15,05:46,18:07
37.773972,122.431297,2023,26,Apr,11:48:15,05:01,18:35
37.773972,122.431297,2023,26,May,11:47:13,04:33,19:02
37.773972,122.431297,2023,26,Jun,11:52:56,04:30,19:16
37.773972,122.431297,2023,26,Jul,11:56:50,04:48,19:05
37.773972,122.431297,2023,26,Aug,11:52:24,05:15,18:29
37.773972,122.431297,2023,26,Sep,11:42:00,05:41,17:42
37.773972,122.431297,2023,26,Oct,11:34:19,06:09,16:59
37.773972,122.431297,2023,26,Nov,11:37:13,06:41,16:33
37.773972,122.431297,2023,26,Dec,11:50:17,07:04,16:37
37.773972,122.431297,2023,27,Jan,12:02:48,06:59,17:07
37.773972,122.431297,2023,27,Feb,12:03:10,06:26,17:41
37.773972,122.431297,2023,27,Mar,11:55:57,05:44,18:08
37.773972,122.431297,2023,27,Apr,11:48:05,05:00,18:36
37.773972,122.431297,2023,27,May,11:47:19,04:33,19:02
37.773972,122.431297,2023,27,Jun,11:53:08,04:30,19:16
37.773972,122.431297,2023,27,Jul,11:56:50,04:49,19:04
37.773972,122.431297,2023,27,Aug,11:52:08,05:15,18:28
37.773972,122.431297,2023,27,Sep,11:41:40,05:42,17:41
37.773972,122.431297,2023,27,Oct,11:34:13,06:10,16:58
37.773972,122.431297,2023,27,Nov,11:37:31,06:42,16:33
37.773972,122.431297,2023,27,Dec,11:50:47,07:04,16:38
37.773972,122.431297,2023,28,Jan,12:03:00,06:58,17:09
37.773972,122.431297,2023,28,Feb,12:02:59,06:24,17:42
37.773972,122.431297,2023,28,Mar,11:55:38,05:43,18:09
37.773972,122.431297,2023,28,Apr,11:47:56,04:59,18:37
37.773972,122.431297,2023,28,May,11:47:26,04:32,19:03
37.773972,122.431297,2023,28,Jun,11:53:21,04:30,19:16
37.773972,122.431297,2023,28,Jul,11:56:49,04:50,19:03
37.773972,122.431297,2023,28,Aug,11:51:51,05:16,18:26
37.773972,122.431297,2023,28,Sep,11:41:19,05:43,17:39
37.773972,122.431297,2023,28,Oct,11:34:07,06:11,16:57
37.773972,122.431297,2023,28,Nov,11:37:51,06:43,16:33
37.773972,122.431297,2023,28,Dec,11:51:16,07:05,16:39
37.773972,122.431297,2023,29,Jan,12:03:12,06:57,17:10
37.773972,122.431297,2023,29,Mar,11:55:20,05:41,18:10
37.773972,122.431297,2023,29,Apr,11:47:47,04:58,18:38
37.773972,122.431297,2023,29,May,11:47:34,04:32,19:04
37.773972,122.431297,2023,29,Jun,11:53:33,04:31,19:16
37.773972,122.431297,2023,29,Jul,11:56:48,04:51,19:02
37.773972,122.431297,2023,29,Aug,11:51:33,05:17,18:25
37.773972,122.431297,2023,29,Sep,11:40:59,05:43,17:38
37.773972,122.431297,2023,29,Oct,11:34:01,06:12,16:56
37.773972,122.431297,2023,29,Nov,11:38:11,06:44,16:32
37.773972,122.431297,2023,29,Dec,11:51:46,07:05,16:39
37.773972,122.431297,2023,30,Jan,12:03:23,06:56,17:11
37.773972,122.431297,2023,30,Mar,11:55:02,05:40,18:11
37.773972,122.431297,2023,30,Apr,11:47:39,04:57,18:39
37.773972,122.431297,2023,30,May,11:47:41,04:31,19:05
37.773972,122.431297,2023,30,Jun,11:53:45,04:31,19:16
37.773972,122.431297,2023,30,Jul,11:56:47,04:51,19:01
37.773972,122.431297,2023,30,Aug,11:51:15,05:18,18:24
37.773972,122.431297,2023,30,Sep,11:40:39,05:44,17:36
37.773972,122.431297,2023,30,Oct,11:33:57,06:13,16:55
37.773972,122.431297,2023,30,Nov,11:38:32,06:45,16:32
37.773972,122.431297,2023,30,Dec,11:52:15,07:05,16:40
37.773972,122.431297,2023,31,Jan,12:03:33,06:56,17:12
37.773972,122.431297,2023,31,Mar,11:54:44,05:38,18:12
37.773972,122.431297,2023,31,May,11:47:49,04:31,19:05
37.773972,122.431297,2023,31,Jul,11:56:45,04:52,19:01
37.773972,122.431297,2023,31,Aug,11:50:57,05:19,18:22
37.773972,122.431297,2023,31,Oct,11:33:53,06:14,16:53
37.773972,122.431297,2023,31,Dec,11:52:44,07:05,16:41
